state_code	n_electoral_votes	diff_xibar	diff_stddev	undecided_xibar	undecided_stddev_boost
AL	9	-0.2895	0.0741		0
AK	3	-0.2895	0.0741		0
AZ	11	-0.021027013460342	0.0238255995485861	0.0953238600518191	0.1
AR	6	-0.2895	0.0741		0
CA	55	0.242114743357024	0.0288502256090531	0.0847023708156011	0.0272339497502783
CO	9	0.0489651759543769	0.0207482464963009	0.0524206816863977	0.1
CT	7	0.2955	0.0695		0
DE	3	0.2955	0.0695		0
DC	3	0.2955	0.0695		0
FL	29	0.0139069538062849	0.0197042757423025	0.0536963957559862	0.1
GA	16	-0.0289293209883494	0.0187292559509729	0.0485904269349077	0.1
HI	4	0.2955	0.0695		0
ID	4	-0.2895	0.0741		0
IL	20	0.150901502806652	0.0280281698653717	0.0994728620591427	0.1
IN	11	-0.138634289568434	0.0274787363137068	0.109153362808587	0.1
IA	6	-0.0220375317752314	0.0248403074872134	0.0939042696388741	0.1
KS	6	-0.105483343953513	0.0251427811948819	0.136502988475371	0.1
KY	8	-0.2895	0.0741		0
LA	8	-0.2895	0.0741		0
ME	4	0.051900025554965	0.0225319816376204	0.102969802475812	0.1
MD	10	0.294969661088063	0.0239201832779595	0.100619477544001	0.0115614168001284
MA	11	0.212771302798525	0.0251825380897033	0.0888176578189121	0.0512392175961084
MI	16	0.0451122866186805	0.0267457795229647	0.128432148549494	0.1
MN	10	0.237	0.0542		0
MS	6	-0.2895	0.0741		0
MO	10	-0.0716998845417022	0.0239354418163115	0.0935002554587579	0.1
MT	3	-0.2895	0.0741		0
NE	5	-0.2895	0.0741		0
NV	6	-0.00400421053852434	0.0195234042819001	0.0686437458290097	0.1
NH	4	0.057243842661846	0.022705788272483	0.0893180356149781	0.1
NJ	14	0.124837001777565	0.0253147279363707	0.112621710531584	0.1
NM	5	0.2955	0.0695		0
NY	29	0.2006086806706	0.0242165247160197	0.108489578829953	0.0852302859647393
NC	15	0.00384406138371965	0.0162735829206464	0.0783820091068302	0.1
ND	3	-0.2895	0.0741		0
OH	18	-0.00530345263077635	0.0208724408620605	0.0875304363412871	0.1
OK	7	-0.2895	0.0741		0
OR	7	0.104247194782361	0.0240155882518953	0.09757242137648	0.1
PA	20	0.0587430322963972	0.0212941336664055	0.0721727917789433	0.1
RI	4	0.2955	0.0695		0
SC	9	-0.0623858208479166	0.027022399483754	0.10904470767695	0.1
SD	3	-0.2895	0.0741		0
TN	11	-0.2895	0.0741		0
TX	38	-0.0822344519768882	0.023255948287725	0.123487134692257	0.1
UT	6	-0.105825250878849	0.0297525981481606	0.141688380054457	0.1
VT	3	0.2955	0.0695		0
VA	13	0.0616714608034844	0.0225505766638881	0.0805107887362605	0.1
WA	12	0.141372675659128	0.0290736794308416	0.161519108052752	0.1
WV	5	-0.2895	0.0741		0
WI	10	0.0545621663963524	0.0230254072719364	0.103486477746421	0.1
WY	3	-0.2895	0.0741		0
